Order_Number;ID_Client;ID_State_Code;State/ UT;Customer_Name;Order_Date;Status;Product;ID_Product;Category;ID_Category;Brand;ID_Brand;Cost; Sales ;Quantity; Total_Cost ; Total_Sales ;Assigned Supervisor;ID_Vender
139374;CLI01;AP;Andhra Pradesh;Adhir Samal;11/01/2020;Delivered;512 GB M.2;PCT01;SSD;CAT01;Samsung;BRD1;R$ 6.500,00; R$ 8.450,00 ;1; R$ 6.500,00 ; R$ 8.450,00 ;Ajay Sharma; VEN11101 
139375;CLI02;AP;Andhra Pradesh;Dannana Jhammi;11/01/2020;Delivered;RYZEN 3rd gen. 3500 ;PCT02;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;3; R$ 25.500,00 ; R$ 33.150,00 ;Roshan Kumar; VEN11102 
139376;CLI03;AS;Assam;Vipin Kumar;11/01/2020;Delivered;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;2; R$ 14.000,00 ; R$ 18.200,00 ;Aarvi Gupta; VEN11103 
139377;CLI04;BR;Bihar;Ranjeet Kumar;11/01/2020;Delivered;16 GB DDR4 RAM;PCT04;RAM;CAT04;Hynix;BRD4;R$ 6.550,00; R$ 8.515,00 ;3; R$ 19.650,00 ; R$ 25.545,00 ;Vijay Singh; VEN11104 
139378;CLI05;CG;Chhattisgarh;Sajal Singhal;11/01/2020;Order;Standard ATX motherboard;PCT05;MotherBoard;CAT05;Gigabyte;BRD5;R$ 7.650,00; R$ 9.945,00 ;4; R$ 30.600,00 ; R$ 39.780,00 ;Aadil Khan; VEN11105 
139379;CLI06;CG;Chhattisgarh;Akhilesh Kumar;11/01/2020;Order;Compact with 1 Fan;PCT06;Cabinet;CAT06;Asus;BRD6;R$ 1.150,00; R$ 1.495,00 ;2; R$ 2.300,00 ; R$ 2.990,00 ;Advika Joshi; VEN11106 
139380;CLI07;CG;Chhattisgarh;Suvankar Chakraborty;11/01/2020;Order;USB Backlight Keyboard;PCT07;Keyboard;CAT07;Dell;BRD7;R$ 850,00; R$ 1.105,00 ;3; R$ 2.550,00 ; R$ 3.315,00 ;Ajay Sharma; VEN11101 
139381;CLI08;CG;Chhattisgarh;Suvankar Adhikary;12/01/2020;Order;Ergonomic Mouse;PCT08;Mouse;CAT08;Samsung;BRD1;R$ 650,00; R$ 845,00 ;2; R$ 1.300,00 ; R$ 1.690,00 ;Ajay Sharma; VEN11101 
139382;CLI09;CG;Chhattisgarh;Rahul Kumar Prajapati;13/01/2020;Order;"15"" LCD Dsipaly";PCT09;Monitor;CAT09;Dell;BRD7;R$ 7.500,00; R$ 9.750,00 ;1; R$ 7.500,00 ; R$ 9.750,00 ;Roshan Kumar; VEN11102 
139383;CLI10;JK;Jammu and Kashmir;Sagar Jeur;14/01/2020;Order;2 TB HDD;PCT10;HDD;CAT10;Seagate;BRD8;R$ 10.000,00; R$ 13.000,00 ;3; R$ 30.000,00 ; R$ 39.000,00 ;Aarvi Gupta; VEN11103 
139384;CLI11;JH;Jharkhand;Rhushikesh Mane;15/01/2020;Order;1 TB SSD;PCT11;SSD;CAT01;Samsung;BRD1;R$ 10.500,00; R$ 13.650,00 ;1; R$ 10.500,00 ; R$ 13.650,00 ;Aadil Khan; VEN11105 
139385;CLI12;KA;Karnataka;Ashish Kumar;16/01/2020;Order;Intel i5 12th gen.;PCT12;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;4; R$ 34.000,00 ; R$ 44.200,00 ;Advika Joshi; VEN11106 
139386;CLI13;KL;Kerala;Javed Akhter;17/01/2020;Order;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;2; R$ 14.000,00 ; R$ 18.200,00 ;Ajay Sharma; VEN11101 
